company,species,REF,review_year,cocoa_percent,company_location,rating,bean_type,bean_origin,is_blend,is_domestic
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.7,Ecuador,3.0,Forastero (Arriba),Ecuador,1,1
Ah Cacao,Tabasco,316,2009,0.7,Mexico,3.0,Criollo,Mexico,0,1
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,0.75,Switzerland,3.75,Trinitario,Indonesia,1,0
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,0.75,Switzerland,2.75,Criollo,Madagascar,1,0
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,0.75,Switzerland,2.75,Forastero,Brazil,1,0
Alain Ducasse,Trinite,1215,2014,0.65,France,2.75,Trinitario,Trinidad,0,0
Alain Ducasse,Vietnam,1215,2014,0.75,France,2.75,Trinitario,Vietnam,0,0
Alain Ducasse,Madagascar,1215,2014,0.75,France,3.0,Trinitario,Madagascar,0,0
Alain Ducasse,Chuao,1061,2013,0.75,France,2.5,Trinitario,Venezuela,0,0
Alain Ducasse,"Piura, Perou",1173,2013,0.75,France,2.5,Others,Peru,1,0
Alexandre,"Winak Coop, Napo",1944,2017,0.7,Netherlands,3.5,Forastero (Nacional),Ecuador,1,0
Alexandre,"La Dalia, Matagalpa",1944,2017,0.7,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,1,0
Alexandre,Tien Giang,1944,2017,0.7,Netherlands,3.5,Trinitario,Vietnam,0,0
Alexandre,"Makwale Village, Kyela",1944,2017,0.7,Netherlands,3.5,Forastero,Tanzania,1,0
Altus aka Cao Artisan,Momotombo,1728,2016,0.6,U.S.A.,2.75,Others,Nicaragua,0,0
Altus aka Cao Artisan,Acopagro,1728,2016,0.6,U.S.A.,3.0,Others,Peru,0,0
Altus aka Cao Artisan,CIAAB Coop,1732,2016,0.6,U.S.A.,2.5,Others,Bolivia,0,0
Altus aka Cao Artisan,Villa Andina,1732,2016,0.6,U.S.A.,2.5,Others,Peru,0,0
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,0.6,U.S.A.,2.75,Others,Ecuador,0,0
Altus aka Cao Artisan,Sur del Lago,1125,2013,0.6,U.S.A.,2.5,Others,Venezuela,0,0
Altus aka Cao Artisan,Conacado,1125,2013,0.6,U.S.A.,3.0,Trinitario,Dominican Republic,0,0
Altus aka Cao Artisan,Bolivia,1129,2013,0.8,U.S.A.,3.25,Others,Bolivia,0,0
Altus aka Cao Artisan,Bolivia,1133,2013,0.6,U.S.A.,3.0,Others,Bolivia,0,0
Altus aka Cao Artisan,Peru,1133,2013,0.6,U.S.A.,3.25,Others,Peru,0,0
Amano,Morobe,725,2011,0.7,U.S.A.,4.0,Others,Papua New Guinea,0,0
Amano,Dos Rios,470,2010,0.7,U.S.A.,3.75,Others,Dominican Republic,0,0
Amano,Guayas,470,2010,0.7,U.S.A.,4.0,Others,Ecuador,0,0
Amano,Chuao,544,2010,0.7,U.S.A.,3.0,Trinitario,Venezuela,0,0
Amano,Montanya,363,2009,0.7,U.S.A.,3.0,Others,Venezuela,0,0
Amano,"Bali, Jembrana",304,2008,0.7,U.S.A.,2.75,Others,Indonesia,1,0
Amano,Madagascar,129,2007,0.7,U.S.A.,3.5,Trinitario,Madagascar,0,0
Amano,Cuyagua,147,2007,0.7,U.S.A.,3.0,Others,Venezuela,0,0
Amano,Ocumare,175,2007,0.7,U.S.A.,3.75,Criollo,Venezuela,0,0
Amatller (Simon Coll),Ghana,322,2009,0.7,Spain,3.0,Forastero,Ghana,0,0
Amatller (Simon Coll),Ecuador,327,2009,0.7,Spain,2.75,Others,Ecuador,0,0
Amatller (Simon Coll),Ecuador,464,2009,0.85,Spain,2.75,Others,Ecuador,0,0
Amatller (Simon Coll),Ghana,464,2009,0.85,Spain,3.0,Forastero,Ghana,0,0
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,0.72,Peru,3.25,Others,Peru,1,1
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,0.73,Peru,3.5,Trinitario,Peru,1,1
Ambrosia,Belize,1494,2015,0.64,Canada,3.0,Trinitario,Belize,0,0
Ambrosia,Madagascar,1494,2015,0.66,Canada,3.25,Trinitario,Madagascar,0,0
Ambrosia,Dominican Republic,1498,2015,0.75,Canada,3.25,Others,Dominican Republic,0,0
Ambrosia,Papua New Guinea,1498,2015,0.63,Canada,3.25,Others,Papua New Guinea,0,0
Ambrosia,Venezuela,1498,2015,0.7,Canada,3.25,Others,Venezuela,0,0
Ambrosia,Peru,1498,2015,0.68,Canada,3.5,Others,Peru,0,0
Amedei,"Piura, Blanco de Criollo",979,2012,0.7,Italy,3.75,Others,Peru,1,0
Amedei,Porcelana,111,2007,0.7,Italy,4.0,Criollo (Porcelana),Venezuela,0,0
Amedei,Nine,111,2007,0.75,Italy,4.0,Blend,Others,0,0
Amedei,Chuao,111,2007,0.7,Italy,5.0,Trinitario,Venezuela,0,0
Amedei,Ecuador,123,2007,0.7,Italy,3.0,Trinitario,Ecuador,0,0
Amedei,Jamaica,123,2007,0.7,Italy,3.0,Trinitario,Jamaica,0,0
Amedei,Grenada,123,2007,0.7,Italy,3.5,Trinitario,Grenada,0,0
Amedei,Venezuela,123,2007,0.7,Italy,3.75,Trinitario (85% Criollo),Venezuela,0,0
Amedei,Madagascar,123,2007,0.7,Italy,4.0,Trinitario (85% Criollo),Madagascar,0,0
Amedei,Trinidad,129,2007,0.7,Italy,3.5,Trinitario,Trinidad,0,0
Amedei,Toscano Black,170,2007,0.63,Italy,3.5,Blend,Others,0,0
Amedei,Toscano Black,40,2006,0.7,Italy,5.0,Blend,Others,0,0
Amedei,Toscano Black,75,2006,0.66,Italy,4.0,Blend,Others,0,0
AMMA,Catongo,1065,2013,0.75,Brazil,3.25,Forastero (Catongo),Brazil,0,1
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.85,Brazil,2.75,Forastero (Parazinho),Brazil,1,1
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.5,Brazil,3.75,Forastero (Parazinho),Brazil,1,1
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.75,Brazil,3.75,Forastero (Parazinho),Brazil,1,1
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,0.6,Brazil,4.0,Forastero (Parazinho),Brazil,1,1
Anahata,Elvesia,1259,2014,0.75,U.S.A.,3.0,Others,Dominican Republic,0,0
Animas,Alto Beni,1852,2016,0.75,U.S.A.,3.5,Others,Bolivia,0,0
Ara,Madagascar,1375,2014,0.75,France,3.0,Trinitario,Madagascar,0,0
Ara,Chiapas,1379,2014,0.72,France,2.5,Others,Mexico,0,0
Ara,Equateur,1379,2014,0.75,France,2.75,Others,Ecuador,0,0
Ara,Trincheras,1379,2014,0.75,France,3.0,Others,Venezuela,0,0
Arete,San Juan,1724,2016,0.7,U.S.A.,3.5,Trinitario,Trinidad,0,0
Arete,Kokoa Kamili,1724,2016,0.7,U.S.A.,3.75,Others,Tanzania,0,0
Arete,Tien Giang,1900,2016,0.73,U.S.A.,3.5,Trinitario,Vietnam,0,0
Arete,Hacienda Victoria,1904,2016,0.7,U.S.A.,3.25,Others,Ecuador,0,0
Arete,Costa Esmeraldas,1904,2016,0.7,U.S.A.,3.25,Others,Ecuador,0,0
Arete,Lachua,1904,2016,0.7,U.S.A.,3.5,Others,Guatemala,0,0
Arete,Rugoso,1904,2016,0.7,U.S.A.,3.75,Others,Nicaragua,0,0
Arete,"La Masica, FHIA",1908,2016,0.7,U.S.A.,3.5,Others,Honduras,1,0
Arete,"Coto Brus, Terciopelo",1908,2016,0.7,U.S.A.,4.0,Others,Costa Rica,1,0
Arete,Phantom,1924,2016,0.7,U.S.A.,4.0,Forastero (Nacional),Peru,0,0
Arete,Elvesia,1928,2016,0.7,U.S.A.,3.75,Others,Dominican Republic,0,0
Arete,Matasawalevu,1928,2016,0.7,U.S.A.,3.25,Others,Fiji,0,0
Arete,Lam Dong,1928,2016,0.73,U.S.A.,3.25,Others,Vietnam,0,0
Arete,Fazenda Camboa,1534,2015,0.7,U.S.A.,3.5,Others,Brazil,0,0
Arete,Nacional,1534,2015,0.68,U.S.A.,3.5,Forastero (Nacional),Peru,0,0
Arete,"Puerto Quito, heirloom",1534,2015,0.7,U.S.A.,3.75,Forastero (Nacional),Ecuador,1,0
Arete,Oko Caribe,1598,2015,0.7,U.S.A.,3.5,Others,Dominican Republic,0,0
Arete,Maya Mountain,1598,2015,0.7,U.S.A.,3.75,Trinitario,Belize,0,0
Arete,Chuno,1598,2015,0.7,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua,0,0
Arete,Fazenda Camboa,1602,2015,0.75,U.S.A.,2.75,Others,Brazil,0,0
Arete,Guatemala,1602,2015,0.7,U.S.A.,3.25,Others,Guatemala,0,0
Arete,Camino Verde,1602,2015,0.75,U.S.A.,3.5,Others,Ecuador,0,0
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,0.72,England,3.25,Trinitario,Trinidad,1,0
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,0.72,England,3.75,Others,Colombia,1,0
Artisan du Chocolat,Haiti,729,2011,0.72,England,4.0,Others,Haiti,0,0
Artisan du Chocolat,Panama,745,2011,0.72,England,2.75,Others,Panama,0,0
Artisan du Chocolat,Venezuela,486,2010,1.0,England,1.75,Others,Venezuela,0,0
Artisan du Chocolat,Jamaica,531,2010,0.72,England,3.75,Trinitario,Jamaica,0,0
Artisan du Chocolat,Costa Rica,600,2010,0.72,England,3.25,Others,Costa Rica,0,0
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,0.72,England,3.25,Trinitario,Vietnam,0,0
Artisan du Chocolat,Bali,600,2010,0.72,England,3.5,Others,Indonesia,0,0
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,0.75,England,2.5,"Criollo, Trinitario",Venezuela,1,0
Artisan du Chocolat,Java,355,2009,0.72,England,2.75,Trinitario,Indonesia,0,0
Artisan du Chocolat,Brazil Rio Doce,363,2009,0.72,England,1.75,Others,Brazil,0,0
Artisan du Chocolat,Madagascar,363,2009,0.8,England,3.0,"Criollo, Trinitario",Madagascar,0,0
Artisan du Chocolat,Peru,363,2009,0.75,England,3.0,Criollo,Peru,0,0
Artisan du Chocolat,Dominican Republic,363,2009,0.72,England,3.25,Trinitario,Dominican Republic,0,0
Artisan du Chocolat,Congo,300,2008,0.72,England,3.75,Forastero,Congo,0,0
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,0.72,England,2.75,Trinitario,Colombia,1,0
Askinosie,Mababa,1780,2016,0.68,U.S.A.,3.75,Trinitario,Tanzania,0,0
Askinosie,"Tenende, Uwate",647,2011,0.72,U.S.A.,3.75,Trinitario,Tanzania,1,0
Askinosie,Cortes,661,2011,0.7,U.S.A.,3.75,Trinitario,Honduras,0,0
Askinosie,Davao,331,2009,0.77,U.S.A.,3.75,Trinitario,Philippines,0,0
Askinosie,Xoconusco,141,2007,0.75,U.S.A.,2.5,Trinitario,Mexico,0,0
Askinosie,San Jose del Tambo,175,2007,0.7,U.S.A.,3.0,Forastero (Arriba),Ecuador,0,0
Bahen & Co.,Houseblend,1474,2015,0.8,Australia,3.25,Others,Others,1,0
Bahen & Co.,Papua New Guinea,1474,2015,0.7,Australia,3.5,Others,Papua New Guinea,0,0
Bahen & Co.,Sambirano,995,2012,0.7,Australia,3.0,Trinitario,Madagascar,0,0
Bahen & Co.,Bahia,999,2012,0.7,Australia,2.5,Others,Brazil,0,0
Bahen & Co.,Houseblend,999,2012,0.7,Australia,2.5,Blend,Others,1,0
Bakau,"Bambamarca, 2015",1454,2015,0.7,Peru,2.75,Others,Peru,1,1
Bakau,"Huallabamba, 2015",1454,2015,0.7,Peru,3.5,Others,Peru,1,1
Bar Au Chocolat,Bahia,1554,2015,0.7,U.S.A.,3.5,Others,Brazil,0,0
Bar Au Chocolat,Maranon Canyon,1295,2014,0.7,U.S.A.,4.0,Forastero (Nacional),Peru,0,0
Bar Au Chocolat,Duarte Province,983,2012,0.7,U.S.A.,3.25,Others,Dominican Republic,0,0
Bar Au Chocolat,Chiapas,983,2012,0.7,U.S.A.,3.5,Others,Mexico,0,0
Bar Au Chocolat,Sambirano,983,2012,0.7,U.S.A.,3.75,Trinitario,Madagascar,0,0
Baravelli's,single estate,955,2012,0.8,Wales,2.75,Others,Costa Rica,0,0
Batch,"Dominican Republic, Batch 3",1840,2016,0.65,U.S.A.,3.5,Others,Dominican Republic,1,0
Batch,Brazil,1868,2016,0.7,U.S.A.,3.75,Others,Brazil,0,0
Batch,Ecuador,1880,2016,0.65,U.S.A.,3.25,Others,Ecuador,0,0
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,0.73,England,3.0,Others,Malaysia,1,0
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,0.72,England,3.25,Others,Malaysia,1,0
Beehive,"Brazil, Batch 20316",1784,2016,0.8,U.S.A.,2.75,Others,Brazil,1,0
Beehive,"Dominican Republic, Batch 31616",1784,2016,0.7,U.S.A.,2.75,Others,Dominican Republic,1,0
Beehive,"Ecuador, Batch 31516",1784,2016,0.7,U.S.A.,2.75,Others,Ecuador,1,0
Beehive,Ecuador,1788,2016,0.9,U.S.A.,2.75,Others,Ecuador,0,0
Belcolade,Costa Rica,586,2010,0.64,Belgium,2.75,Others,Costa Rica,0,0
Belcolade,Papua New Guinea,586,2010,0.64,Belgium,2.75,Others,Papua New Guinea,0,0
Belcolade,Peru,586,2010,0.64,Belgium,2.75,Others,Peru,0,0
Belcolade,Ecuador,586,2010,0.71,Belgium,3.5,Others,Ecuador,0,0
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,0.7,U.S.A.,3.5,"Criollo, Trinitario",Tanzania,1,0
Bellflower,"Alto Beni, Palos Blanco",1804,2016,0.7,U.S.A.,3.25,Others,Bolivia,1,0
Bellflower,"Oko Caribe, Duarte P.",1864,2016,0.7,U.S.A.,3.5,Others,Dominican Republic,1,0
Belyzium,"Belize south, low fermentation",1768,2016,0.83,Germany,2.75,Trinitario,Belize,1,0
Belyzium,Belize south,1768,2016,0.78,Germany,3.0,Trinitario,Belize,0,0
Belyzium,Belize south,1768,2016,0.83,Germany,3.5,Trinitario,Belize,0,0
Benoit Nihant,Baracoa,1141,2013,0.74,Belgium,3.5,Trinitario,Cuba,0,0
Benoit Nihant,Chuao,1141,2013,0.74,Belgium,3.5,Criollo,Venezuela,0,0
Benoit Nihant,Cuyagua Village,1141,2013,0.74,Belgium,3.5,Criollo,Venezuela,0,0
Benoit Nihant,Rio Peripa H.,1141,2013,0.73,Belgium,4.0,Trinitario,Ecuador,0,0
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,0.72,Belgium,4.0,Trinitario,Indonesia,1,0
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,0.72,Belgium,3.75,Trinitario,Madagascar,1,0
Bernachon,Nature,797,2012,0.55,France,2.75,Others,Others,0,0
Beschle (Felchlin),Madagascar,636,2011,0.64,Switzerland,3.0,Trinitario,Madagascar,0,0
Beschle (Felchlin),Maracaibo,636,2011,0.88,Switzerland,3.0,Criollo,Venezuela,0,0
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,0.72,Switzerland,3.5,Others,Venezuela,1,0
Beschle (Felchlin),Ecuador,636,2011,0.72,Switzerland,4.0,Others,Ecuador,0,0
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,0.7,Switzerland,3.25,Trinitario,Venezuela,1,0
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,0.74,Switzerland,3.25,Criollo (Porcelana),Venezuela,1,0
Beschle (Felchlin),"Java, Grand Cru",508,2010,0.64,Switzerland,3.5,Others,Indonesia,1,0
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,0.72,Switzerland,3.5,Others,Venezuela,1,0
Bisou,"Nicaragua, American style",1482,2015,0.76,U.S.A.,2.5,Others,Nicaragua,1,0
Bisou,"San Andres, American style",1486,2015,0.76,U.S.A.,2.5,Others,Costa Rica,1,0
Bisou,"San Andres, silk",1486,2015,0.78,U.S.A.,2.5,Others,Costa Rica,1,0
Bisou,Belize,1486,2015,0.86,U.S.A.,3.25,Trinitario,Belize,0,0
Bittersweet Origins,Ghana,963,2012,0.72,U.S.A.,3.5,Forastero,Ghana,0,0
Bittersweet Origins,"Bali, Singaraja",478,2010,0.75,U.S.A.,3.25,Others,Indonesia,1,0
Bittersweet Origins,2009 Hapa Nibby,502,2010,0.7,U.S.A.,3.75,Blend,"Dominican Republic,Bali",1,0
Bittersweet Origins,"Bali, Singaraja",558,2010,0.65,U.S.A.,2.75,Others,Indonesia,1,0
Bittersweet Origins,"Sambirano, 2009",565,2010,0.7,U.S.A.,3.0,Trinitario,Madagascar,1,0
Bittersweet Origins,"Ocumare, prototype",565,2010,0.78,U.S.A.,3.0,Criollo,Venezuela,1,0
Bittersweet Origins,Puerto Plata,414,2009,0.75,U.S.A.,3.0,Others,Dominican Republic,0,0
Bittersweet Origins,Puerto Plata,414,2009,0.65,U.S.A.,3.5,Others,Dominican Republic,0,0
Bittersweet Origins,Sambirano,423,2009,0.75,U.S.A.,3.25,Trinitario,Madagascar,0,0
Bittersweet Origins,Sambirano,431,2009,0.65,U.S.A.,3.5,Trinitario,Madagascar,0,0
Bittersweet Origins,Sambirano,233,2008,0.71,U.S.A.,3.0,Trinitario,Madagascar,0,0
Bittersweet Origins,Bocas del Toro,233,2008,0.75,U.S.A.,3.5,Others,Panama,0,0
Bittersweet Origins,Puerto Plata,233,2008,0.68,U.S.A.,3.75,Others,Dominican Republic,0,0
Bittersweet Origins,Ankasa,256,2008,0.7,U.S.A.,3.0,Forastero,Ghana,0,0
Black Mountain,La Red,256,2008,0.7,U.S.A.,2.75,Others,Dominican Republic,0,0
Black Mountain,Carenero Superior,256,2008,0.7,U.S.A.,2.75,Trinitario,Venezuela,0,0
Black Mountain,Matiguas,256,2008,0.7,U.S.A.,3.0,Others,Nicaragua,0,0
Black River (A. Morin),Blue Mountain Region,1331,2014,0.7,England,2.75,Trinitario,Jamaica,0,0
Blanxart,"Congo, Grand Cru",1046,2013,0.82,Spain,3.5,Forastero,Congo,1,0
Blanxart,Organic Dark,322,2009,0.72,Spain,2.75,Others,Others,0,0
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,0.82,U.S.A.,3.5,Trinitario,Madagascar,1,0
Blue Bandana,Lachua,1752,2016,0.75,U.S.A.,2.75,Others,Guatemala,0,0
Blue Bandana,Kokoa Kamili,1752,2016,0.75,U.S.A.,3.5,Others,Tanzania,0,0
Blue Bandana,Zorzal Reserva,1756,2016,0.75,U.S.A.,3.0,Others,Dominican Republic,0,0
Blue Bandana,Guatemala,911,2012,0.7,U.S.A.,3.5,Others,Guatemala,0,0
Blue Bandana,Madagascar,911,2012,0.7,U.S.A.,3.75,Trinitario,Madagascar,0,0
Bonnat,Selva Maya,1912,2016,0.75,France,3.5,Others,Mexico,0,0
Bonnat,Kaori,1339,2014,0.75,France,4.0,Others,Brazil,0,0
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,0.75,France,3.25,Others,Dominican Republic,1,0
Bonnat,Surfin,1418,2014,0.65,France,3.75,Others,"Venezuela,Africa,Brasil,Peru,Mexico",1,0
Bonnat,Maragnam,1038,2013,0.75,France,3.5,Others,Brazil,0,0
Bonnat,Gabon,1042,2013,0.75,France,3.25,Others,Gabon,0,0
Bonnat,Cuba,629,2011,0.75,France,3.5,Trinitario,Cuba,0,0
Bonnat,"Cusco, Cacao Cusco",629,2011,0.75,France,3.5,Others,Peru,1,0
Bonnat,Piura Blanco,629,2011,0.75,France,3.5,Forastero (Nacional),Peru,0,0
Bonnat,Libanio,629,2011,0.75,France,3.75,Others,Brazil,0,0
Bonnat,Haiti,629,2011,0.75,France,4.0,Others,Haiti,0,0
Bonnat,"Madagascar, 100% criollo",629,2011,0.75,France,4.0,Criollo,Madagascar,1,0
Bonnat,Juliana,672,2011,0.75,France,3.5,Others,Brazil,0,0
Bonnat,Jamaique,761,2011,0.75,France,3.25,Trinitario,Jamaica,0,0
Bonnat,Ivory Coast,331,2009,0.75,France,3.0,Others,Ivory Coast,0,0
Bonnat,"Porcelana, Apotequil",336,2009,0.75,France,2.75,Criollo,Peru,1,0
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,0.75,France,3.0,Criollo,Mexico,1,0
Bonnat,"Xoconusco, cacao Real",395,2009,0.75,France,3.0,Criollo,Mexico,1,0
Bonnat,"Porcelana, Venezuela",199,2008,0.75,France,4.0,Criollo (Porcelana),Venezuela,1,0
Bonnat,Equateur,123,2007,0.75,France,2.5,Forastero (Arriba),Ecuador,0,0
Bonnat,Trinite,24,2006,0.75,France,3.75,Trinitario,Carribean,0,0
Bonnat,"Ocumare, Puerto Cabello",32,2006,0.75,France,4.0,Others,Venezuela,1,0
Bonnat,"Maracaibo, El Rosario",48,2006,0.75,France,4.0,Criollo,Venezuela,1,0
Bonnat,Madagascar,75,2006,0.75,France,4.0,Trinitario,Madagascar,0,0
Bonnat,One Hundred,81,2006,1.0,France,1.5,Others,Others,0,0
Bonnat,Ceylan,81,2006,0.75,France,3.0,Others,Sri Lanka,0,0
Bonnat,Chuao,81,2006,0.75,France,4.0,Trinitario,Venezuela,0,0
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,0.77,Ecuador,3.25,Forastero (Arriba),Ecuador,1,1
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,1.0,Ecuador,1.5,Forastero (Arriba),Ecuador,1,1
Bowler Man,Maya Mountain,1267,2014,0.7,U.S.A.,2.75,Trinitario,Belize,0,0
Bowler Man,Conacado,1271,2014,0.7,U.S.A.,2.75,Others,Dominican Republic,0,0
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,0.7,U.S.A.,3.5,Criollo,Venezuela,1,0
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,0.7,U.S.A.,3.75,Others,Nicaragua,1,0
Brasstown aka It's Chocolate,Conacado,1462,2015,0.68,U.S.A.,3.75,Others,Dominican Republic,0,0
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,0.7,U.S.A.,3.75,Trinitario,Belize,0,0
Brasstown aka It's Chocolate,Chuao,1355,2014,0.7,U.S.A.,4.0,Trinitario,Venezuela,0,0
Brasstown aka It's Chocolate,Cooproagro,1125,2013,0.72,U.S.A.,3.0,Trinitario,Dominican Republic,0,0
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,0.7,U.S.A.,3.25,Others,Ecuador,1,0
Brasstown aka It's Chocolate,Ghana,1129,2013,0.75,U.S.A.,3.5,Forastero,Ghana,0,0
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,0.85,U.S.A.,3.5,Trinitario,Venezuela,1,0
Brazen,Elvesia P.,1514,2015,0.6,U.S.A.,3.0,Others,Dominican Republic,0,0
Brazen,Elvesia P.,1514,2015,0.8,U.S.A.,3.25,Others,Dominican Republic,0,0
Brazen,"Alta Verapaz, 2014",1514,2015,0.7,U.S.A.,3.5,Others,Guatemala,1,0
Brazen,Ambolikapiky P.,1518,2015,0.8,U.S.A.,2.75,Others,Madagascar,0,0
Brazen,Maya Mountain,1518,2015,0.8,U.S.A.,3.25,Trinitario,Belize,0,0
Brazen,Ambolikapkly P.,1518,2015,0.6,U.S.A.,3.25,Others,Madagascar,0,0
Breeze Mill,Jamaica,1149,2013,0.7,U.S.A.,3.0,Trinitario,Jamaica,0,0
Bright,Somia Plantation,1231,2014,0.72,Australia,3.0,Trinitario,Madagascar,0,0
Bright,Marabel Farms,1231,2014,0.7,Australia,3.5,Others,Dominican Republic,0,0
Bright,"Camino Verde, Balao, Guayas",1231,2014,0.72,Australia,3.5,Others,Ecuador,1,0
Bright,Gran Couva,1235,2014,0.68,Australia,2.75,Trinitario,Trinidad,0,0
Britarev,Ecuador,1638,2015,0.7,Russia,3.25,Others,Ecuador,0,0
Bronx Grrl Chocolate,Dominican Republic,1181,2013,0.68,U.S.A.,2.75,Others,Dominican Republic,0,0
Burnt Fork Bend,Trinidad,1299,2014,0.72,U.S.A.,3.25,Trinitario,Trinidad,0,0
Burnt Fork Bend,Mindo,1299,2014,0.72,U.S.A.,3.5,Others,Ecuador,0,0
Burnt Fork Bend,Belize,1303,2014,0.72,U.S.A.,3.25,Trinitario,Belize,0,0
Burnt Fork Bend,Blend,1303,2014,0.72,U.S.A.,3.25,Blend,Others,1,0
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,0.6,U.S.A.,2.5,Others,Ecuador,1,0
Cacao Arabuco,Puerto Rico,1606,2015,0.7,Puerto Rico,2.5,Others,Puerto Rico,0,1
Cacao Atlanta,Tumbes,1215,2014,0.75,U.S.A.,2.5,Criollo,Peru,0,0
